signal_id,feature_id,source,theme,sentiment,severity,evidence_weight,note
SIG0001,AIP001,Competitive teardown,Let users edit the plan,Negative,Medium,88.8,Competitive teardown highlights that let users edit the plan matters for busy professionals.
SIG0002,AIP001,Competitive teardown,Instrument outcome quality,Request,Medium,98,Competitive teardown highlights that instrument outcome quality matters for busy professionals.
SIG0003,AIP001,Competitive teardown,Let users edit the plan,Positive,High,95.2,Competitive teardown highlights that let users edit the plan matters for busy professionals.
SIG0004,AIP001,Support ticket cluster,Handle ambiguous inputs,Positive,Medium,95.3,Support ticket cluster highlights that handle ambiguous inputs matters for busy professionals.
SIG0005,AIP001,Experiment note,Escalate low confidence outputs,Request,High,86.2,Experiment note highlights that escalate low confidence outputs matters for busy professionals.
SIG0006,AIP001,In-app survey,Explain the recommendation,Request,Low,89.9,In-app survey highlights that explain the recommendation matters for busy professionals.
SIG0007,AIP001,In-app survey,Instrument outcome quality,Negative,High,89.3,In-app survey highlights that instrument outcome quality matters for busy professionals.
SIG0008,AIP001,App store review theme,Let users edit the plan,Negative,Low,91.8,App store review theme highlights that let users edit the plan matters for busy professionals.
SIG0009,AIP001,Experiment note,Instrument outcome quality,Negative,Medium,93.7,Experiment note highlights that instrument outcome quality matters for busy professionals.
SIG0010,AIP001,Support ticket cluster,Handle ambiguous inputs,Request,Medium,98,Support ticket cluster highlights that handle ambiguous inputs matters for busy professionals.
SIG0011,AIP001,Experiment note,Instrument outcome quality,Positive,Low,78.3,Experiment note highlights that instrument outcome quality matters for busy professionals.
SIG0012,AIP001,App store review theme,Let users edit the plan,Negative,Medium,79.2,App store review theme highlights that let users edit the plan matters for busy professionals.
SIG0013,AIP001,User interview,Ask consent before cross-app use,Mixed,Low,80.7,User interview highlights that ask consent before cross-app use matters for busy professionals.
SIG0014,AIP001,Competitive teardown,Handle ambiguous inputs,Negative,Medium,81.2,Competitive teardown highlights that handle ambiguous inputs matters for busy professionals.
SIG0015,AIP001,User interview,Let users edit the plan,Positive,High,81.7,User interview highlights that let users edit the plan matters for busy professionals.
SIG0016,AIP001,App store review theme,Let users edit the plan,Negative,Medium,98,App store review theme highlights that let users edit the plan matters for busy professionals.
SIG0017,AIP002,Experiment note,Escalate low confidence outputs,Mixed,Medium,92.9,Experiment note highlights that escalate low confidence outputs matters for solo founders.
SIG0018,AIP002,Competitive teardown,Handle ambiguous inputs,Mixed,Low,67.5,Competitive teardown highlights that handle ambiguous inputs matters for solo founders.
SIG0019,AIP002,App store review theme,Instrument outcome quality,Mixed,Low,91.1,App store review theme highlights that instrument outcome quality matters for solo founders.
SIG0020,AIP002,User interview,Let users edit the plan,Request,Low,98,User interview highlights that let users edit the plan matters for solo founders.
SIG0021,AIP002,Support ticket cluster,Explain the recommendation,Mixed,High,98,Support ticket cluster highlights that explain the recommendation matters for solo founders.
SIG0022,AIP002,Support ticket cluster,Escalate low confidence outputs,Mixed,High,91.1,Support ticket cluster highlights that escalate low confidence outputs matters for solo founders.
SIG0023,AIP002,Experiment note,Explain the recommendation,Request,Medium,98,Experiment note highlights that explain the recommendation matters for solo founders.
SIG0024,AIP002,In-app survey,Let users edit the plan,Negative,High,95.1,In-app survey highlights that let users edit the plan matters for solo founders.
SIG0025,AIP002,User interview,Ask consent before cross-app use,Request,Medium,72.5,User interview highlights that ask consent before cross-app use matters for solo founders.
SIG0026,AIP002,App store review theme,Ask consent before cross-app use,Request,Low,91.3,App store review theme highlights that ask consent before cross-app use matters for solo founders.
SIG0027,AIP003,Competitive teardown,Escalate low confidence outputs,Mixed,Low,74.4,Competitive teardown highlights that escalate low confidence outputs matters for mobile office users.
SIG0028,AIP003,Competitive teardown,Explain the recommendation,Mixed,Low,98,Competitive teardown highlights that explain the recommendation matters for mobile office users.
SIG0029,AIP003,Experiment note,Ask consent before cross-app use,Mixed,Low,65.5,Experiment note highlights that ask consent before cross-app use matters for mobile office users.
SIG0030,AIP003,App store review theme,Let users edit the plan,Negative,Medium,96.4,App store review theme highlights that let users edit the plan matters for mobile office users.
SIG0031,AIP003,User interview,Handle ambiguous inputs,Positive,Low,84.6,User interview highlights that handle ambiguous inputs matters for mobile office users.
SIG0032,AIP003,Experiment note,Handle ambiguous inputs,Mixed,Medium,65.7,Experiment note highlights that handle ambiguous inputs matters for mobile office users.
SIG0033,AIP003,Support ticket cluster,Ask consent before cross-app use,Negative,Low,57.2,Support ticket cluster highlights that ask consent before cross-app use matters for mobile office users.
SIG0034,AIP003,Experiment note,Let users edit the plan,Positive,Low,88.8,Experiment note highlights that let users edit the plan matters for mobile office users.
SIG0035,AIP003,Support ticket cluster,Escalate low confidence outputs,Positive,High,78.7,Support ticket cluster highlights that escalate low confidence outputs matters for mobile office users.
SIG0036,AIP003,Support ticket cluster,Explain the recommendation,Negative,High,86.9,Support ticket cluster highlights that explain the recommendation matters for mobile office users.
SIG0037,AIP003,Support ticket cluster,Handle ambiguous inputs,Request,Low,90.5,Support ticket cluster highlights that handle ambiguous inputs matters for mobile office users.
SIG0038,AIP003,App store review theme,Ask consent before cross-app use,Negative,Medium,93.6,App store review theme highlights that ask consent before cross-app use matters for mobile office users.
SIG0039,AIP003,User interview,Escalate low confidence outputs,Mixed,High,74.1,User interview highlights that escalate low confidence outputs matters for mobile office users.
SIG0040,AIP003,User interview,Instrument outcome quality,Positive,Medium,77.4,User interview highlights that instrument outcome quality matters for mobile office users.
SIG0041,AIP003,Experiment note,Instrument outcome quality,Positive,Low,98,Experiment note highlights that instrument outcome quality matters for mobile office users.
SIG0042,AIP003,Competitive teardown,Handle ambiguous inputs,Request,Medium,78.4,Competitive teardown highlights that handle ambiguous inputs matters for mobile office users.
SIG0043,AIP004,App store review theme,Let users edit the plan,Mixed,Medium,93.2,App store review theme highlights that let users edit the plan matters for students and professionals.
SIG0044,AIP004,App store review theme,Escalate low confidence outputs,Request,Medium,85.6,App store review theme highlights that escalate low confidence outputs matters for students and professionals.
SIG0045,AIP004,Experiment note,Instrument outcome quality,Request,High,86.9,Experiment note highlights that instrument outcome quality matters for students and professionals.
SIG0046,AIP004,Competitive teardown,Let users edit the plan,Request,High,81.4,Competitive teardown highlights that let users edit the plan matters for students and professionals.
SIG0047,AIP004,App store review theme,Explain the recommendation,Negative,Medium,98,App store review theme highlights that explain the recommendation matters for students and professionals.
SIG0048,AIP004,User interview,Ask consent before cross-app use,Positive,Medium,87.0,User interview highlights that ask consent before cross-app use matters for students and professionals.
SIG0049,AIP004,Competitive teardown,Handle ambiguous inputs,Mixed,Low,94.8,Competitive teardown highlights that handle ambiguous inputs matters for students and professionals.
SIG0050,AIP004,Support ticket cluster,Instrument outcome quality,Mixed,Medium,86.0,Support ticket cluster highlights that instrument outcome quality matters for students and professionals.
SIG0051,AIP004,Experiment note,Escalate low confidence outputs,Request,Medium,65.8,Experiment note highlights that escalate low confidence outputs matters for students and professionals.
SIG0052,AIP004,User interview,Handle ambiguous inputs,Mixed,Low,89.4,User interview highlights that handle ambiguous inputs matters for students and professionals.
SIG0053,AIP004,User interview,Let users edit the plan,Mixed,Low,95.9,User interview highlights that let users edit the plan matters for students and professionals.
SIG0054,AIP004,User interview,Instrument outcome quality,Negative,Low,85.9,User interview highlights that instrument outcome quality matters for students and professionals.
SIG0055,AIP004,User interview,Handle ambiguous inputs,Positive,Medium,94.8,User interview highlights that handle ambiguous inputs matters for students and professionals.
SIG0056,AIP004,App store review theme,Instrument outcome quality,Request,High,74.6,App store review theme highlights that instrument outcome quality matters for students and professionals.
